Site,Col_Company,Col_Recruit,Col_detail,Col_url
Job_Korea,더치트주식회사,데이터 애널리스트 /데이터분석전문가 / 통계 전문가 / Data Analyst (통,"['경력무관', '대졸↑', '정규직 외', '서울 구로구', 'D-20']",www.jobkorea.co.kr/Recruit/GI_Read/46668510?Oem_Code=C1&logpath=1&stext=데이터분석&listno=1&sc=631
Job_Korea,㈜메디젠휴먼케어,메디젠휴먼케어데이터분석담당 경력직 채용,"['경력3년↑', '석사↑', '정규직', '서울 송파구', 'D-37']",www.jobkorea.co.kr/Recruit/GI_Read/46590042?Oem_Code=C1&logpath=1&stext=데이터분석&listno=2&sc=631
Job_Korea,넛지헬스케어㈜,[캐시워크-병역특례]데이터분석담당 산업기능요원,"['강소기업', '경력무관', '학력무관', '병역특례', '서울 강남구', 'D-3', '#쾌적한 업무공간', '#유연근무']",www.jobkorea.co.kr/Recruit/GI_Read/46570518?Oem_Code=C1&logpath=1&stext=데이터분석&listno=3&sc=631
Job_Korea,한화생명보험㈜,2025년 일반직 신입사원 채용 -데이터분석,"['한화그룹', '1000대기업', '신입', '대졸↑', '인턴', '서울 영등포구', 'D-11']",www.jobkorea.co.kr/Recruit/GI_Read/46728166?Oem_Code=C1&logpath=1&stext=데이터분석&listno=4&sc=632
Job_Korea,연이,데이터분석준전문가 자격증 온라인 강의 교사 채용,"['경력2년↑', '학력무관', '프리랜서', '서울 광진구', 'D-26']",www.jobkorea.co.kr/Recruit/GI_Read/46706259?Oem_Code=C1&logpath=1&stext=데이터분석&listno=5&sc=631
Job_Korea,넛지헬스케어㈜,[캐시워크]데이터분석담당 채용전환형 인턴,"['강소기업', '신입', '대졸↑', '인턴', '서울 강남구', 'D-6', '#식사 지원', '#쾌적한 업무공간', '#휴가제도', '#경조사 지원 ', '외 10건']",www.jobkorea.co.kr/Recruit/GI_Read/46586706?Oem_Code=C1&logpath=1&stext=데이터분석&listno=6&sc=631
Job_Korea,한패스㈜,[한패스(주)/데이터분석팀] Google Analytics데이터분석가,"['경력', '학력무관', '정규직', '서울 성동구', 'D-2']",www.jobkorea.co.kr/Recruit/GI_Read/46575616?Oem_Code=C1&logpath=1&stext=데이터분석&listno=7&sc=631
Job_Korea,㈜컴투스,[컴투스홀딩스]데이터분석담당자 (4-8년차),"['코스닥', '경력4년↑', '학력무관', '정규직', '서울 금천구', 'D-58', '#명절선물/명절상여 지원', '#출퇴근 셔틀버스 운영', '#경조사 지원 ', '#복지포인트', '외 4건']",www.jobkorea.co.kr/Recruit/GI_Read/46718389?Oem_Code=C1&logpath=1&stext=데이터분석&listno=8&sc=632
Job_Korea,(주)상상에프앤비,배달전문 프랜차이즈 기업 상상에프앤비 배달앱데이터분석전문가 채용,"['경력', '학력무관', '정규직', '경기 남양주시', 'D-10', '#연차제도']",www.jobkorea.co.kr/Recruit/GI_Read/46617537?Oem_Code=C1&logpath=1&stext=데이터분석&listno=9&sc=631
Job_Korea,휴먼교육센터,[국비무료/숙식무료]AI/빅데이터분석/풀스택/KDT심화(무료숙식제공),"['신입·경력', '학력무관', '연수생/교육생', '서울 영등포구 외', 'D-1']",www.jobkorea.co.kr/Recruit/GI_Read/46589027?Oem_Code=C1&logpath=1&stext=데이터분석&listno=10&sc=631
Job_Korea,㈜동인코퍼레이션,BI / OLAP /데이터분석엔지니어 채용,"['경력2년↑', '초대졸↑', '정규직', '서울 송파구', 'D-29', '#휴양시설 지원', '#운동비 지원', '#퇴직연금', '#산재보험', '외 10건']",www.jobkorea.co.kr/Recruit/GI_Read/46726297?Oem_Code=C1&logpath=1&stext=데이터분석&listno=11&sc=632
