Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,넛지헬스케어(주),[캐시워크]데이터분석담당 채용전환형 인턴,"['인기있는', '[캐시워크]데이터분석담당 채용전환형 인턴', '', '~ 05/09(금)', '입사지원', '서울강남구', '신입', '대졸↑', '인턴직', '수정일 25/04/01', '관심기업 등록', '', '링커리어']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202952&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,(주)마크클라우드,"AI 개발(Python),데이터분석및 사업 기획 모집","['인기있는', 'AI 개발(Python),데이터분석및 사업 기획 모집', '', '~ 05/24(토)', '입사지원', '서울강남구', '신입·경력', '대졸↑', '정규직', '등록일 25/03/25', '관심기업 등록', '']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50330710&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,(주)마크클라우드,"AI 개발(Python),데이터분석및 사업 기획 인턴 모집","['인기있는', 'AI 개발(Python),데이터분석및 사업 기획 인턴 모집', '', '~ 04/27(일)', '입사지원', '서울강남구', '경력무관', '대졸↑', '인턴직', '등록일 25/03/28', '관심기업 등록', '']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50361543&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,(주)씨아이템프러리,현대카드 본사 카드금융마케팅팀 사무직 채용/데이터분석/마케팅,"['IT개발·데이터 지원 급상승', '현대카드 본사 카드금융마케팅팀 사무직 채용/데이터분석/마케팅', '', '~ 04/27(일)', '입사지원', '서울영등포구', '경력무관', '학력무관', '계약직', '등록일 25/03/28', '관심기업 등록', '', '파견']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50354859&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,(주)메이크인,[여의도/자체직전환/신입가능]나이스평가정보데이터분석채용,"['인기있는', '[여의도/자체직전환/신입가능]나이스평가정보데이터분석채용', '', '채용시', '입사지원', '서울영등포구', '경력무관', '초대졸↑', '계약직·파견직', '3,000 만원', '수정일 25/03/21', '관심기업 등록', '', '메이크인', '파견']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50295057&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,(주)케이에스씨앤씨,[신입] 신용평가/금융데이터분석컨설팅 인재 채용,"['마케팅·홍보·조사 지원 급상승', '[신입] 신용평가/금융데이터분석컨설팅 인재 채용', '', '~ 04/30(수)', '입사지원', '서울영등포구', '신입', '대졸↑', '정규직', '등록일 25/03/14', '관심기업 등록', '']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50248252&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,(주)멋쟁이사자처럼,[(주)멋쟁이자사처럼] KDT데이터분석부트캠프 보조강사,"['시리즈A 투자유치', '[(주)멋쟁이자사처럼] KDT데이터분석부트캠프 보조강사', '', '~ 04/11(금)', '입사지원', '서울종로구', '경력무관', '학력무관', '프리랜서', '수정일 25/03/19', '관심기업 등록', '']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50235861&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,한국가이던스,"[통계분석,사회조사분석,설문조사,데이터분석,리서치] 연구직","['인기있는', '[통계분석,사회조사분석,설문조사,데이터분석,리서치] 연구직', '', '~ 04/09(수)', '입사지원', '대구달서구', '신입·경력', '대졸↑', '계약직', '수정일 25/04/01', '관심기업 등록', '']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50310518&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,서울대학교병원,서울대학교병원 생체신호 머신러닝/데이터분석연구원 채용,"['서울대학교병원 생체신호 머신러닝/데이터분석연구원 채용', '', '채용시', '입사지원', '서울종로구', '경력무관', '대졸↑', '무기계약직·계약직', '수정일 25/02/12', '관심기업 등록', '', '서울대학교병원']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49986277&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
Saramin,(주)싸인랩,[데이터분석]데이터분석가 채용 공고,"['[데이터분석]데이터분석가 채용 공고', '', '~ 04/09(수)', '입사지원', '부산부산진구', '경력무관', '학력무관', '정규직', '등록일 25/03/10', '관심기업 등록', '']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50201890&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=28e56092-75a9-4439-bd69-74b9947365f7
